ID_Cliente,Genero,Adulto_Mayor,Tiene_Pareja,Personas_a_Cargo,Meses_Antiguedad,Servicio_Telefonico,Lineas_Multiples,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,TV_Streaming,Peliculas_Streaming,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Fuga_Cliente
CLI-0001,Masculino,0,No,Si,3,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Tarjeta de credito,35.0,100.06,Si
CLI-0002,Masculino,0,No,Si,19,Si,Si,Fibra optica,No,No,No,Si,Si,No,Contrato de 1 ano,Si,Tarjeta de credito,91.0,1708.24,No
CLI-0003,Femenino,1,Si,No,27,No,Sin servicio telefonico,DSL,Si,No,No,Si,Si,Si,Contrato de 2 anos,Si,Cheque electronico,77.0,2179.88,No
CLI-0004,Masculino,1,No,No,43,Si,No,Fibra optica,No,Si,Si,Si,Si,No,Contrato de 2 anos,No,Cheque electronico,102.0,4600.7,No
CLI-0005,Masculino,1,Si,Si,6,Si,Si,Fibra optica,No,Si,No,No,No,Si,Mes a mes,No,Transferencia bancaria,91.0,532.17,Si
CLI-0006,Femenino,1,No,No,3,Si,Si,Fibra optica,Si,Si,Si,No,Si,No,Mes a mes,No,Cheque enviado por correo,107.0,321.93,No
CLI-0007,Masculino,0,No,No,5,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,No,Transferencia bancaria,102.0,512.01,Si
CLI-0008,Masculino,1,No,Si,6,Si,No,Fibra optica,Si,Si,Si,Si,No,Si,Mes a mes,Si,Transferencia bancaria,110.0,670.54,No
CLI-0009,Masculino,1,No,Si,68,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Contrato de 2 anos,No,Cheque enviado por correo,35.0,2497.85,No
CLI-0010,Femenino,1,Si,Si,2,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,Si,Tarjeta de credito,35.0,67.0,Si
CLI-0011,Masculino,0,Si,No,9,Si,No,Fibra optica,Si,No,Si,No,No,Si,Mes a mes,Si,Tarjeta de credito,94.0,859.45,Si
CLI-0012,Femenino,1,Si,Si,7,Si,Si,Fibra optica,Si,Si,No,Si,No,Si,Mes a mes,No,Cheque enviado por correo,107.0,730.26,No
CLI-0013,Femenino,0,Si,Si,4,Si,No,DSL,Si,No,Si,Si,No,Si,Mes a mes,No,Cheque electronico,87.0,362.84,No
CLI-0014,Femenino,1,No,Si,5,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,Si,Cheque electronico,35.0,167.25,Si
CLI-0015,Masculino,0,Si,Si,10,Si,Si,DSL,Si,Si,Si,Si,No,No,Mes a mes,No,Transferencia bancaria,92.0,935.61,Si
CLI-0016,Femenino,1,Si,No,15,No,Sin servicio telefonico,Fibra optica,Si,No,Si,Si,Si,No,Contrato de 1 ano,Si,Cheque electronico,92.0,1432.56,No
CLI-0017,Femenino,1,Si,No,65,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Contrato de 2 anos,No,Tarjeta de credito,35.0,2374.86,No
CLI-0018,Masculino,0,Si,No,19,Si,No,Fibra optica,No,No,No,Si,Si,No,Contrato de 1 ano,No,Tarjeta de credito,86.0,1552.88,No
CLI-0019,Femenino,0,No,No,20,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Contrato de 2 anos,Si,Cheque electronico,35.0,705.78,No
